geometry,beta,criterion,branch_id,local_mode_index,eigenvalue,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,criterion_value,branch_overlap_prev
ortho_1.10_1.30,0.5,xyz_only,15,16,5.508828245952412,Z1,"1-axis:(1,)",0.26604057694779126,0.0001639917428781321,0.704116438018621,2.7192671198141167,0.0001639917428781321,0.9961001107711398
ortho_1.10_1.30,0.75,score_q,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,2.7980003616715986e-05,0.9968467592420761
ortho_1.10_1.30,0.75,score_iso,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,9.545539033525503e-05,0.9968467592420761
ortho_1.10_1.30,0.75,q_only,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,0.19619565797624952,0.9968467592420761
ortho_1.10_1.30,0.75,xyz_only,15,17,6.1540493629878155,Z1,"1-axis:(1,)",0.19619565797624952,0.00014261275659883924,0.6693327624524156,2.445001148629166,0.00014261275659883924,0.9968467592420761
ortho_1.10_1.30,1.0,score_q,15,18,6.732841517035389,Z1,"1-axis:(1,)",0.13968885502790102,0.00012346318969263896,0.644572929807676,2.1887706508179305,1.7246431606257286e-05,0.9974279956283617
ortho_1.10_1.30,1.0,score_iso,19,20,7.410041317424607,Y1,"1-axis:(1,)",0.12188180967774591,0.00013076113800281853,0.61814692942331,2.219553863102356,8.082959594433996e-05,0.9974876503965631
ortho_1.10_1.30,1.0,q_only,15,18,6.732841517035389,Z1,"1-axis:(1,)",0.13968885502790102,0.00012346318969263896,0.644572929807676,2.1887706508179305,0.13968885502790102,0.9974279956283617
ortho_1.10_1.30,1.0,xyz_only,19,20,7.410041317424607,Y1,"1-axis:(1,)",0.12188180967774591,0.00013076113800281853,0.61814692942331,2.219553863102356,0.00013076113800281853,0.9974876503965631
ortho_1.10_1.30,1.5,score_q,20,16,7.320207522207036,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.10908158198481611,9.368544370505667e-05,0.31415330182691525,1.1688609092456361,1.0219356408297015e-05,0.9931130659204741
ortho_1.10_1.30,1.5,score_iso,19,20,8.409868003899554,Y1+Z1,"2-axis:(1, 1)",0.0691919762085852,0.0001462424481391577,0.6259038223247636,1.7941878662975062,9.153370727642981e-05,0.9925100058843739
ortho_1.10_1.30,1.5,q_only,14,13,6.296356668249384,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12164716977956515,4.4988885913550646e-05,0.5923308197264344,1.2152395262650202,0.12164716977956515,0.9940120673175571
ortho_1.10_1.30,1.5,xyz_only,19,20,8.409868003899554,Y1+Z1,"2-axis:(1, 1)",0.0691919762085852,0.0001462424481391577,0.6259038223247636,1.7941878662975062,0.0001462424481391577,0.9925100058843739
ortho_1.10_1.30,2.0,score_q,20,15,7.856441189762202,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.11010297705795162,0.00012839832505799086,0.28913482048044514,0.9813761996039887,1.4137037838139382e-05,0.9954265798438088
ortho_1.10_1.30,2.0,score_iso,19,20,9.218241476226664,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.07314474176877189,0.00016140046444471573,0.6299208222613613,1.4525032183048716,0.00010166951327638093,0.9948958020246658
ortho_1.10_1.30,2.0,q_only,14,13,6.850799366291483,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.1213074119750904,5.712951302762897e-05,0.551471757137509,1.009823167590249,0.1213074119750904,0.9963533556696128
ortho_1.10_1.30,2.0,xyz_only,19,20,9.218241476226664,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.07314474176877189,0.00016140046444471573,0.6299208222613613,1.4525032183048716,0.00016140046444471573,0.9948958020246658
ortho_1.10_1.30,3.0,score_q,20,15,8.68404778825122,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.11248282745187198,0.00018233665996253255,0.2652959810879671,0.6911050863911274,2.05097430607162e-05,0.9893395713504526
ortho_1.10_1.30,3.0,score_iso,19,20,10.411191685036743,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.09494678181855348,0.00018759826520082238,0.6308777556884866,0.9723130449147553,0.00011835157252094834,0.9881801264664017
ortho_1.10_1.30,3.0,q_only,14,12,7.699417906562376,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.120172458026375,7.132783440676893e-05,0.5142548141540438,0.708311878382612,0.120172458026375,0.9920520426623229
ortho_1.10_1.30,3.0,xyz_only,19,20,10.411191685036743,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.09494678181855348,0.00018759826520082238,0.6308777556884866,0.9723130449147553,0.00018759826520082238,0.9881801264664017
ortho_1.10_1.30,4.0,score_q,20,15,9.269066243817825,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.11466471268985859,0.00021918369135972087,0.2564547897318189,0.4919818156637158,2.5132634996065034e-05,0.994456671884243
ortho_1.10_1.30,4.0,score_iso,19,20,11.223886450654573,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.10448638235541118,0.0002214352394381083,0.6277826069455942,0.6764105489196529,0.00013901319188407748,0.9940378636299759
ortho_1.10_1.30,4.0,q_only,14,12,8.301403743483444,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.11871928828262884,7.724672582186204e-05,0.5019304877653645,0.5093064770603892,0.11871928828262884,0.9960052600907449
ortho_1.10_1.30,4.0,xyz_only,19,20,11.223886450654573,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.10448638235541118,0.0002214352394381083,0.6277826069455942,0.6764105489196529,0.0002214352394381083,0.9940378636299759
ortho_1.10_1.30,5.0,score_q,9,10,8.334088783324747,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.1087866015710267,0.00028464726511054367,0.6238332777087793,0.3513482615026932,3.0965808617863124e-05,0.9976139135742013
ortho_1.10_1.30,5.0,score_iso,9,10,8.334088783324747,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.1087866015710267,0.00028464726511054367,0.6238332777087793,0.3513482615026932,0.0001775724363847503,0.9976139135742013
ortho_1.10_1.30,5.0,q_only,2,2,3.6785169533316604,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.11828581307785249,8.863511943105491e-05,0.2884539625166462,0.1481734558481923,0.11828581307785249,0.998715627953252
ortho_1.10_1.30,5.0,xyz_only,9,10,8.334088783324747,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.1087866015710267,0.00028464726511054367,0.6238332777087793,0.3513482615026932,0.00028464726511054367,0.9976139135742013
ortho_1.10_1.30,7.0,score_q,19,20,12.502150133675347,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.1171255816802366,0.0005208156086492792,0.2506344171772186,0.2578198253435282,6.1000831111193287e-05,6.531239742503352e-09
ortho_1.10_1.30,7.0,score_iso,9,10,8.86647270679653,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.1166856446380591,0.0003970470631315475,0.6168916136031602,0.20111289362148765,0.00024493500345161616,0.9958867131784612
ortho_1.10_1.30,7.0,q_only,2,2,3.9009739702526063,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12037955231552891,0.00011258134219374685,0.2849590511701778,0.08335800135290414,0.12037955231552891,0.9979009819325216
ortho_1.10_1.30,7.0,xyz_only,19,20,12.502150133675347,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.1171255816802366,0.0005208156086492792,0.2506344171772186,0.2578198253435282,0.0005208156086492792,6.531239742503352e-09
ortho_1.10_1.30,10.0,score_q,19,20,13.062732816895473,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12025912907689754,0.0005853805529446276,0.24936295152114332,0.1347902326999982,7.039735547567362e-05,0.9954116327114314
ortho_1.10_1.30,10.0,score_iso,9,11,9.306000927860767,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12099984264816714,0.0005110536030303012,0.6099963476511563,0.1065145624444277,0.00031174083130244764,0.9970499711303193
ortho_1.10_1.30,10.0,q_only,2,2,4.082285429627259,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12148813098650596,0.00013509471070789132,0.2819919412547103,0.043769981484591484,0.12148813098650596,0.99855880436505
ortho_1.10_1.30,10.0,xyz_only,19,20,13.062732816895473,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12025912907689754,0.0005853805529446276,0.24936295152114332,0.1347902326999982,0.0005853805529446276,0.9954116327114314
ortho_1.20_1.50,0.0,score_q,18,18,4.030801536458142,Y1,"1-axis:(1,)",0.4149556843672618,0.00021123997115871234,0.4444444444397957,3.065338590133157,8.765522679788413e-05,1.0
ortho_1.20_1.50,0.0,score_iso,14,14,3.3194796878088293,Z1,"1-axis:(1,)",0.41495568418199824,0.00021123997096642798,0.621650287165258,3.0712662721284576,0.00013131738861206073,1.0
ortho_1.20_1.50,0.0,q_only,18,18,4.030801536458142,Y1,"1-axis:(1,)",0.4149556843672618,0.00021123997115871234,0.4444444444397957,3.065338590133157,0.4149556843672618,1.0
ortho_1.20_1.50,0.0,xyz_only,18,18,4.030801536458142,Y1,"1-axis:(1,)",0.4149556843672618,0.00021123997115871234,0.4444444444397957,3.065338590133157,0.00021123997115871234,1.0
ortho_1.20_1.50,0.25,score_q,14,14,4.051753512847242,Z1,"1-axis:(1,)",0.3391824915849064,0.0001856310663937686,0.5632863883857578,2.785295260821751,6.29628076150016e-05,0.9940694134654352
ortho_1.20_1.50,0.25,score_iso,14,14,4.051753512847242,Z1,"1-axis:(1,)",0.3391824915849064,0.0001856310663937686,0.5632863883857578,2.785295260821751,0.00010456345296114274,0.9940694134654352
ortho_1.20_1.50,0.25,q_only,14,14,4.051753512847242,Z1,"1-axis:(1,)",0.3391824915849064,0.0001856310663937686,0.5632863883857578,2.785295260821751,0.3391824915849064,0.9940694134654352
ortho_1.20_1.50,0.25,xyz_only,14,14,4.051753512847242,Z1,"1-axis:(1,)",0.3391824915849064,0.0001856310663937686,0.5632863883857578,2.785295260821751,0.0001856310663937686,0.9940694134654352
ortho_1.20_1.50,0.5,score_q,14,15,4.712016424957608,Z1,"1-axis:(1,)",0.25875987685294527,0.00016098417745624962,0.5263862867086598,2.497873767572913,4.165624593385184e-05,0.995404526015859
ortho_1.20_1.50,0.5,score_iso,14,15,4.712016424957608,Z1,"1-axis:(1,)",0.25875987685294527,0.00016098417745624962,0.5263862867086598,2.497873767572913,8.473986339004319e-05,0.995404526015859
ortho_1.20_1.50,0.5,q_only,14,15,4.712016424957608,Z1,"1-axis:(1,)",0.25875987685294527,0.00016098417745624962,0.5263862867086598,2.497873767572913,0.25875987685294527,0.995404526015859
ortho_1.20_1.50,0.5,xyz_only,14,15,4.712016424957608,Z1,"1-axis:(1,)",0.25875987685294527,0.00016098417745624962,0.5263862867086598,2.497873767572913,0.00016098417745624962,0.995404526015859
ortho_1.20_1.50,0.75,score_q,14,16,5.301739815101323,Z1,"1-axis:(1,)",0.18701444307122456,0.00013845011356061122,0.502384538010702,2.2228601482681527,2.5892170880685502e-05,0.9963886104042383
ortho_1.20_1.50,0.75,score_iso,14,16,5.301739815101323,Z1,"1-axis:(1,)",0.18701444307122456,0.00013845011356061122,0.502384538010702,2.2228601482681527,6.95551963386769e-05,0.9963886104042383
ortho_1.20_1.50,0.75,q_only,14,16,5.301739815101323,Z1,"1-axis:(1,)",0.18701444307122456,0.00013845011356061122,0.502384538010702,2.2228601482681527,0.18701444307122456,0.9963886104042383
ortho_1.20_1.50,0.75,xyz_only,14,16,5.301739815101323,Z1,"1-axis:(1,)",0.18701444307122456,0.00013845011356061122,0.502384538010702,2.2228601482681527,0.00013845011356061122,0.9963886104042383
ortho_1.20_1.50,1.0,score_q,14,17,5.8252132453048615,Z1,"1-axis:(1,)",0.1303955297585045,0.0001234135737863635,0.48630426754360406,1.9688936507664365,1.6092578333263154e-05,0.9971181984090565
ortho_1.20_1.50,1.0,score_iso,14,17,5.8252132453048615,Z1,"1-axis:(1,)",0.1303955297585045,0.0001234135737863635,0.48630426754360406,1.9688936507664365,6.001654760511604e-05,0.9971181984090565
ortho_1.20_1.50,1.0,q_only,15,16,5.77493659145439,Y1+Z1,"2-axis:(1, 1)",0.13484592960740477,6.93785134802158e-05,0.7555487494213093,1.7419647909924285,0.13484592960740477,0.997456380533496
ortho_1.20_1.50,1.0,xyz_only,18,19,6.397780358825986,X1+Z1,"2-axis:(1, 1)",0.10512143182920725,0.0001234840648096345,0.26660539721411497,1.6036798950585518,0.0001234840648096345,0.9971725303241975
ortho_1.20_1.50,1.5,score_q,20,20,7.230573608692345,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12176794647106311,0.0001256286849400052,0.23122865075073276,1.416460170210019,1.5297546983004605e-05,0.990964703133428
ortho_1.20_1.50,1.5,score_iso,14,17,6.697417061041437,Y1+Z1,"2-axis:(1, 1)",0.065940990899396,0.00013487507115372046,0.4673494108566458,1.5372643308465541,6.303378504293943e-05,0.991636061275356
ortho_1.20_1.50,1.5,q_only,20,20,7.230573608692345,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12176794647106311,0.0001256286849400052,0.23122865075073276,1.416460170210019,0.12176794647106311,0.990964703133428
ortho_1.20_1.50,1.5,xyz_only,18,19,7.120840075428628,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.075921438499898,0.00018095674391018724,0.23636371253021066,1.2984852137608542,0.00018095674391018724,0.9916077485562608
ortho_1.20_1.50,2.0,score_q,18,19,7.705672318940741,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.08841486968876168,0.00022973262770420325,0.21928167526833087,1.0497185599209948,2.0311780341723933e-05,0.9943196112351204
ortho_1.20_1.50,2.0,score_iso,14,17,7.379088072608216,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.07033251981649721,0.00014607283508982373,0.45724707680453874,1.204746170183191,6.679137684537335e-05,0.9944640699590048
ortho_1.20_1.50,2.0,q_only,17,15,6.696167556681137,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.12134260390879867,6.309203452511089e-05,0.6387055191245937,0.9662515145100518,0.12134260390879867,0.9964021826357051
ortho_1.20_1.50,2.0,xyz_only,18,19,7.705672318940741,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.08841486968876168,0.00022973262770420325,0.21928167526833087,1.0497185599209948,0.00022973262770420325,0.9943196112351204
ortho_1.20_1.50,3.0,score_q,18,18,8.563231169107553,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.10262939670329677,0.0003126669849665268,0.20355551148811635,0.6932635180147176,3.208882403615341e-05,0.9870111578453598
ortho_1.20_1.50,3.0,score_iso,9,11,6.556741893839623,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.08882269165424221,0.00015911829838710547,0.4899366721611531,0.635385784380382,7.795788959172384e-05,0.9903222799992453
ortho_1.20_1.50,3.0,q_only,17,15,7.510440739408185,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.12020174949923412,7.67296065287753e-05,0.5974069944036672,0.6813805418262912,0.12020174949923412,0.9922617066354789
ortho_1.20_1.50,3.0,xyz_only,18,18,8.563231169107553,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.10262939670329677,0.0003126669849665268,0.20355551148811635,0.6932635180147176,0.0003126669849665268,0.9870111578453598
ortho_1.20_1.50,4.0,score_q,18,18,9.13735871455431,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.10989322858912319,0.00039370651649129414,0.19763468557165143,0.47268972713338325,4.3265680213805184e-05,0.993620283166541
ortho_1.20_1.50,4.0,score_iso,9,11,7.0777537269221975,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.1030158703452383,0.00023573118392575105,0.485507297247878,0.4259960246018333,0.00011444920998483382,0.9955640817435422
ortho_1.20_1.50,4.0,q_only,17,15,8.090392334143914,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.11874372231806585,8.179557385949393e-05,0.5851058087286182,0.49131377693217665,0.11874372231806585,0.9961259069023514
ortho_1.20_1.50,4.0,xyz_only,18,18,9.13735871455431,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.10989322858912319,0.00039370651649129414,0.19763468557165143,0.47268972713338325,0.00039370651649129414,0.993620283166541
ortho_1.20_1.50,5.0,score_q,18,18,9.536135016799294,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.11405360094125021,0.00045223747977685087,0.19493862907855933,0.33536138457445497,5.157931304914566e-05,0.9967063623145692
ortho_1.20_1.50,5.0,score_iso,9,11,7.436777958814256,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.11060063046611927,0.0003076010616981381,0.4805229161310037,0.30212775295333133,0.0001478093591721821,0.997773273255766
ortho_1.20_1.50,5.0,q_only,2,2,3.0896362916243394,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.11932839959900758,9.454731618007918e-05,0.2221887548979843,0.1169666489924256,0.11932839959900758,0.9988434633641214
ortho_1.20_1.50,5.0,xyz_only,18,18,9.536135016799294,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.11405360094125021,0.00045223747977685087,0.19493862907855933,0.33536138457445497,0.00045223747977685087,0.9967063623145692
ortho_1.20_1.50,7.0,score_q,18,18,10.0402463635934,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.11832928014044744,0.0005277576438742123,0.19232542361372215,0.18842846317518955,6.244918208825417e-05,0.9944256930820665
ortho_1.20_1.50,7.0,score_iso,9,11,7.893533716164998,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.11765049428191492,0.00041993582703368353,0.4722910053673639,0.17217659039480693,0.00019833191393951383,0.9962252912214674
ortho_1.20_1.50,7.0,q_only,2,2,3.264551723080714,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12090560798945293,0.000117966787259109,0.2181640887928643,0.06530803901613733,0.12090560798945293,0.9981533544218083
ortho_1.20_1.50,7.0,xyz_only,18,18,10.0402463635934,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.11832928014044744,0.0005277576438742123,0.19232542361372215,0.18842846317518955,0.0005277576438742123,0.9944256930820665
ortho_1.20_1.50,10.0,score_q,18,18,10.447013323438266,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.12094631218443119,0.0005892440553170569,0.1901645271260437,0.0972194272089028,7.126689546719701e-05,0.9961832367061536
ortho_1.20_1.50,10.0,score_iso,9,11,8.269252913784126,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12147025529398947,0.0005314317458713974,0.46445525781934743,0.09092338924396051,0.00024682626854208577,0.997330771301461
ortho_1.20_1.50,10.0,q_only,5,5,5.423965519186925,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.12186216731724303,0.00027428616021699646,0.21471053110851548,0.055357296813965874,0.12186216731724303,0.9981337727240693
ortho_1.20_1.50,10.0,xyz_only,18,18,10.447013323438266,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.12094631218443119,0.0005892440553170569,0.1901645271260437,0.0972194272089028,0.0005892440553170569,0.9961832367061536
tet_1.05,0.0,score_q,18,18,5.373647355990473,Z1,"1-axis:(1,)",0.4149556841819922,0.0002112399709664242,0.7882245212728944,3.6211479884725275,8.765522667895672e-05,1.0
tet_1.05,0.0,score_iso,18,18,5.373647355990473,Z1,"1-axis:(1,)",0.4149556841819922,0.0002112399709664242,0.7882245212728944,3.6211479884725275,0.00016650452498870983,1.0
tet_1.05,0.0,q_only,18,18,5.373647355990473,Z1,"1-axis:(1,)",0.4149556841819922,0.0002112399709664242,0.7882245212728944,3.6211479884725275,0.4149556841819922,1.0
tet_1.05,0.0,xyz_only,18,18,5.373647355990473,Z1,"1-axis:(1,)",0.4149556841819922,0.0002112399709664242,0.7882245212728944,3.6211479884725275,0.0002112399709664242,1.0
tet_1.05,0.25,score_q,18,18,6.243760686628141,Z1,"1-axis:(1,)",0.3465813977567037,0.00018882715985762394,0.8584198809804093,3.3392695431968216,6.544398099788384e-05,0.9962925245077525
tet_1.05,0.25,score_iso,18,18,6.243760686628141,Z1,"1-axis:(1,)",0.3465813977567037,0.00018882715985762394,0.8584198809804093,3.3392695431968216,0.00016209298809085026,0.9962925245077525
tet_1.05,0.25,q_only,18,18,6.243760686628141,Z1,"1-axis:(1,)",0.3465813977567037,0.00018882715985762394,0.8584198809804093,3.3392695431968216,0.3465813977567037,0.9962925245077525
tet_1.05,0.25,xyz_only,20,19,6.507944331311473,X1,"1-axis:(1,)",0.31230497180030375,0.00019951548375109906,0.5521929920822081,3.3385025658266443,0.00019951548375109906,0.9162320660762211
tet_1.05,0.5,score_q,18,18,7.043417420090131,Z1,"1-axis:(1,)",0.27327625781698167,0.00016728136944655137,0.919008091878757,3.058964819725548,4.571402664485353e-05,0.9968836465220468
tet_1.05,0.5,score_iso,18,18,7.043417420090131,Z1,"1-axis:(1,)",0.27327625781698167,0.00016728136944655137,0.919008091878757,3.058964819725548,0.00015373293214194058,0.9968836465220468
tet_1.05,0.5,q_only,18,18,7.043417420090131,Z1,"1-axis:(1,)",0.27327625781698167,0.00016728136944655137,0.919008091878757,3.058964819725548,0.27327625781698167,0.9968836465220468
tet_1.05,0.5,xyz_only,20,19,7.307681944832134,Y1,"1-axis:(1,)",0.14191170147923196,0.00019096078279723776,0.3511942938523945,3.060564664576341,0.00019096078279723776,0.8738282790837756
tet_1.05,0.75,score_q,18,18,7.774036758637087,Z1,"1-axis:(1,)",0.20554583848129476,0.00014725851107428954,0.9704569507084037,2.788105389057562,3.0268374132271874e-05,0.9973880938998938
tet_1.05,0.75,score_iso,18,18,7.774036758637087,Z1,"1-axis:(1,)",0.20554583848129476,0.00014725851107428954,0.9704569507084037,2.788105389057562,0.00014290804562301472,0.9973880938998938
tet_1.05,0.75,q_only,18,18,7.774036758637087,Z1,"1-axis:(1,)",0.20554583848129476,0.00014725851107428954,0.9704569507084037,2.788105389057562,0.20554583848129476,0.9973880938998938
tet_1.05,0.75,xyz_only,20,20,8.03908737142061,Y1,"1-axis:(1,)",0.18555823410843109,0.00015962180651166736,0.5793515661382729,2.7928806191316573,0.00015962180651166736,0.8850109562533295
tet_1.05,1.0,score_q,18,18,8.438732152512937,Z1,"1-axis:(1,)",0.14945148710278286,0.00012910386870679344,0.9865219726778288,2.532314012267361,1.9294765168952713e-05,0.9978097328153148
tet_1.05,1.0,score_iso,18,18,8.438732152512937,Z1,"1-axis:(1,)",0.14945148710278286,0.00012910386870679344,0.9865219726778288,2.532314012267361,0.00012736380323696527,0.9978097328153148
tet_1.05,1.0,q_only,18,18,8.438732152512937,Z1,"1-axis:(1,)",0.14945148710278286,0.00012910386870679344,0.9865219726778288,2.532314012267361,0.14945148710278286,0.9978097328153148
tet_1.05,1.0,xyz_only,20,19,8.705407286614061,X1+Y1,"2-axis:(1, 1)",0.11661284220316287,0.00016407197726627624,0.3565587681315977,2.5405457266196714,0.00016407197726627624,0.9389914151958907
tet_1.05,1.5,score_q,17,16,8.249884612930318,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.15063445805974285,9.667665445405709e-05,0.32636236765453863,1.717744372399212,1.4562835450715914e-05,0.9858469954741071
